Description	Code
Concatenation of two List	"my_list1 = [4, 3, 2, 9, 10, 44, 1]
my_list2 = [5, 6, 2, 8, 15, 14, 12]
print(f""Sum of two list:,{my_list1+my_list2}"")
"
Calculate the length of dictionary	"thisdict = {
	""brand"": ""Ford"",
	""model"": ""Mustang"",
	""year"": 1964
}


print(f""Length of Dictionary:{len(thisdict)}"")
"
write a python function to calculate age given date of birth	"

from datetime import date


def calculateAge(birthDate):
	today = date.today()
	age = today.year - birthDate.year -        ((today.month, today.day) < (birthDate.month, birthDate.day))
	return age
"
write Python program to illustrate  enumerate function in loops	"l1 = [""eat"", ""sleep"", ""repeat""]


for count, ele in enumerate(l1, 100):
	print(count, ele)
"
is odd	"def add_even_odd_list(l1: list, l2: list) -> list:
	return [a + b for a, b in zip(l1, l2) if a % 2 == 0 and b % 2 != 0]
"
and velocity v	"def cal_ke(mass: float, velocity: float) -> float:
	return (mass * (velocity)**2) / 2
"
Write a Python function to strip vowels from a string	"

def vowel_stripping(string):
	
	return """".join([x for x in string if x not in ('a', 'e', 'i', 'o', 'u')])
"
write a program to Binary Right Shift a number	"c = a >> 2
print(""Binary Right Shift"", c)
"
otherwise False	"

def even(a): return True if a % 2 == 0 else False
"
write a Python function to convert number to english	"

def num_to_eng(n):
	if n == 0:
        return 'zero'

	unit = ('', 'one', 'two', 'three', 'four',
            'five', 'six', 'seven', 'eight', 'nine')
	tens = ('', '', 'twenty', 'thirty', 'forty', 'fifty',
            'sixty', 'seventy', 'eighty', 'ninety')
	teen = ('ten', 'eleven', 'twelve', 'thirteen', 'fourteen',
            'fifteen', 'sixteen', 'seventeen', 'eighteen', 'nineteen')
	h, t, u = '', '', ''

	if n // 100:
        h = unit[n // 100] + ' hundred'
        n = n % 100

	if n >= 20:
        t = tens[n // 10]
        n = n % 10
	elif n >= 10:
        t = teen[n - 10]
        n = 0

	u = unit[n]

	return ' '.join(filter(None, [h, t, u]))


print(num_to_eng(115))
"
Counting total Digits in a string	"str1 = ""abc4234AFde""
digitCount = 0
for i in range(0, len(str1)):
	char = str1[i]
	if(char.isdigit()):
        digitCount += 1
print('Number of digits: ', digitCount)
"
Write a function that returns the exponential value of the input	"def exp(x) -> float:
	import math
	return math.exp(x)
"
write a python function to generate SHA256 for given text	"def get_sha256(text):
	import hashlib
	return hashlib.sha256(text).hexdigest()
"
extension of that	"def filename_extension(file):
	f_extns = file.split(""."")
	return f""The extension of the file is :{repr(f_extns[-1])}""
"
write a program to remove odd numbers from a list using list comprehensions	"nums = [1, 2, 3, 4, 5, 6, 7, 8]
no_odd_nums = [i for i in nums if i % 2 == 0]
"
write a python function to append all elements of one list to another	"def extend_list(list1, list2):
	list1 = [1, 2]
	list2 = [3, 4]
	return list1.extend(list2)
"
"List slicing using indexes that are ""out of range"""	"my_list = [1, 2, 3, 4, 5]
print(my_list[5])
"
string	"txt = ""	 banana	 ""
x = txt.strip()
print(""of all fruits"", x, ""is my favorite"")
"
29. Python Program to Find HCF or GCD	"

def compute_hcf(x, y):
	if x > y:
        smaller = y
	else:
        smaller = x
	for i in range(1, smaller + 1):
        if((x % i == 0) and (y % i == 0)):
            hcf = i
	return hcf


num1 = 54
num2 = 24


print(""The H.C.F. is"", compute_hcf(num1, num2))
"
variable length of args	"import argparse


def create_parser(prog_name, prog_description, arg_name):
	parser = argparse.ArgumentParser(
        prog=prog_name, description=prog_description)
	parser.add_argument(arg_name, nargs='+')
	
	return parser
"
console and print the evaluation result.	"expression = input()
print(eval(expression))
"
Driver code	"dict1 = {'a': 10, 'b': 8}
dict2 = {'d': 6, 'c': 4}

print(Merge(dict1, dict2))
print(dict2)
"
string encoded by utf-8.	"s = raw_input()
u = unicode(s, ""utf-8"")
print(u)
"
numbers is even	"def is_prod_even(num1, num2):
	prod = num1 * num2
	return not prod % 2
"
Write a Python function to multiply all the numbers in a list	"def multiply(numbers):
	total = 1
	for x in numbers:
        total *= x
	return total


print(multiply((8, 2, 3, -1, 7)))
"
Write a Python program to convert a tuple to a dictionary.	"tuplex = ((2, ""w""), (3, ""r""))
print(dict((y, x) for x, y in tuplex))
"
Generate a list by list comprehension	"list = [x for x in range(10)]
print(f""List Generated by list comprehension:{list}"")
"
68 write a program to remove punctuation from a string	"

punctuations = '''!()-[]{};:'""\\,<>./?@#$%^&*_~'''


my_str = ""Hello!!!, he said ---and went.""


no_punct = """"
for char in my_str:
	if char not in punctuations:
        no_punct = no_punct + char


print(no_punct)
"
3x4 matrix	"Y = [[5, 8, 1, 2],
     [6, 7, 3, 0],
     [4, 5, 9, 1]]
"
"object is in [""Baseball"",""cricket""]"	"

subjects = [""Americans"", ""Indians""]
verbs = [""play"", ""watch""]
objects = [""Baseball"", ""Cricket""]
sentence_list = [
	subject + "" "" + verb + "" "" + object + "".""
	for subject in subjects for verb in verbs for object in objects]
for sentence in sentence_list:
	print(sentence)
"
write a python program to print the number of letters and digits in sentence	"sentence = 'The Quick 123 Fox'
digits = 0
letters = 0
for c in sentence:
	if c.isdigit():
        digits += 1
	elif c.isalpha():
        letters += 1
	else:
        pass
print(f'Digits: {digits}, Letters: {letters}')
"
Calculate number of days between two given dates	"from datetime import datetime


date_1 = datetime(2020, 2, 25).date()
date_2 = datetime(2020, 9, 17).date()
delta = None
if date_1 > date_2:
	delta = date_1 - date_2
else:
	delta = date_2 - date_1
print(""Difference is"", delta.days, ""days"")
"
number or not	"def perfect_number_checker(num):
	i = 2
	sum = 1
	while(i <= num // 2):
        if (num % i == 0):
            sum += i
        i += 1
	if sum == num:
        return f'{num} is a perfect number'

	else:
        return f'{num} is not a perfect number'
"
write a python program to Get the maximum and minimum value in a dictionary	"

my_dict = {'x': 500, 'y': 5874, 'z': 560}


key_max = max(my_dict.keys(), key=(lambda k: my_dict[k]))
key_min = min(my_dict.keys(), key=(lambda k: my_dict[k]))


print('Maximum Value in a dictionary: ', my_dict[key_max])
print('Minimum Value in a dictionary: ', my_dict[key_min])
"
19 capitalize first letter in python in list	"my_list = ['apple pie', 'orange jam']
my_list[0].capitalize()
"
progression or not	"def is_geometric(li):
	if len(li) <= 1:
        return True
	
	ratio = li[1] / float(li[0])
	
	for i in range(1, len(li)):
        if li[i] / float(li[i - 1]) != ratio:
            return False
	return True
"
Write a function to multiplies two lists element wise only if numbers are odd	"def adds_listoddelements(l1: list, l2: list):
	return [i * j for i, j in zip(l1, l2) if i * j % 2 == 1]
"
Choose given number of elements from the list with different probability	"import random
num1 = 5
numberList = [111, 222, 333, 444, 555]
print(random.choices(numberList, weights=(10, 20, 30, 40, 50), k=num1))
"
Write a python function that Print all the Numbers Present in the Text File	"

def print_number(fname):
	with open(fname, 'r') as f:
        for line in f:
            words = line.split()
            for i in words:
                for letter in i:
                    if(letter.isdigit()):
                        print(letter)
"
49 write a python funvtion to print the merge sort algorithm in python	"def mergeSort(myList):
	if len(myList) > 1:
        mid = len(myList) // 2
        left = myList[:mid]
        right = myList[mid:]

        
        mergeSort(left)
        mergeSort(right)

        
        i = 0
        j = 0

        
        k = 0

        while i < len(left) and j < len(right):
            if left[i] < right[j]:
                
                myList[k] = left[i]
                
                i += 1
            else:
                myList[k] = right[j]
                j += 1
            
            k += 1

        
        while i < len(left):
            myList[k] = left[i]
            i += 1
            k += 1

        while j < len(right):
            myList[k] = right[j]
            j += 1
            k += 1


myList = [54, 26, 93, 17, 77, 31, 44, 55, 20]
mergeSort(myList)
"
write a function that converts a integer dictionary into a list of tuples.	"def dict_to_tuple(input_dict):
	out_tuple = [(a, b) for a, b in input_dict.items()]
	return out_tuple
"
Replacing a string with another string	"word = ""Hello World""
replace = ""Bye""
input = ""Hello""
after_replace = word.replace(input, replace)
print(f""String ater replacement: {after_replace}"")
"
52 zip two tuple	"def zip_to_tuple(tup1, tup2):
	return zip(tup1, tup2)
"
comma separated sequence.	"value = []
items = [x for x in raw_input().split(',')]
for p in items:
	intp = int(p, 2)
	if not intp % 5:
        value.append(p)
print(','.join(value))
"
n+nn+nnn.	"

def custom(n):
	a = n
	n1 = int(""%s"" % a)
	n2 = int(""%s%s"" % (a, a))
	n3 = int(""%s%s%s"" % (a, a, a))
	return n1 + n2 + n3


print(custom(20))
"
from a sequence of integer values.	"def odd_product(nums):
	for i in range(len(nums)):
        for j in range(len(nums)):
            if i != j:
                product = nums[i] * nums[j]
                if product & 1:
                    return True
                    return False


dt1 = [2, 4, 6, 8]
dt2 = [1, 6, 4, 7, 8]
print(dt1, odd_product(dt1))
print(dt2, odd_product(dt2))
"
